model,role,core_pr,domain,baseline_acc,mild_acc,expansion_gain,jpis_pressure_auc
Qwen3-0.6B,reasoning,1.07,math,0.6875,0.4710648148148148,-0.21643518518518517,0.7294784580498866
Qwen3-0.6B,reasoning,1.07,factual,0.5,0.26157407407407407,-0.23842592592592593,0.6065192743764172
DSR1-1.5B,reasoning,1.08,math,0.0,0.03125,0.03125,0.9727891156462584
DSR1-1.5B,reasoning,1.08,factual,0.625,0.48726851851851855,-0.13773148148148145,0.4520408163265306
Gemma2-2B,base,2.53,math,0.4375,0.4340277777777778,-0.00347222222222221,0.0501700680272109
Gemma2-2B,base,2.53,factual,0.875,0.875,0.0,0.0175736961451247
Gemma3-1B,base,1.45,math,0.0625,0.09606481481481481,0.03356481481481481,0.924404761904762
Gemma3-1B,base,1.45,factual,0.8125,0.36689814814814814,-0.44560185185185186,0.6894274376417233
Mamba-790M,ssm,6.14,math,0.0,0.0,0.0,1.0
Mamba-790M,ssm,6.14,factual,0.25,0.32407407407407407,0.07407407407407407,0.6597222222222221
FalconH1-0.5B,hybrid,5.66,math,1.0,1.0,0.0,0.4215986394557823
FalconH1-0.5B,hybrid,5.66,factual,1.0,0.9826388888888888,-0.01736111111111116,0.0790816326530611
FalconH1-1.5B,hybrid,1.63,math,0.9375,0.9155092592592593,-0.0219907407407407,0.3005952380952379
FalconH1-1.5B,hybrid,1.63,factual,0.9375,0.9270833333333334,-0.01041666666666663,0.0768707482993195
Zamba2-1.2B,hybrid,4.54,math,0.875,0.8680555555555556,-0.00694444444444442,0.136224489795918
Zamba2-1.2B,hybrid,4.54,factual,0.9375,0.9537037037037037,0.01620370370370372,0.020408163265306
