release_month,models_seen,active_paradigms,between_distance,within_distance,overlap_ratio,convergence_index
2024-09-01,7,2,6.712994634235734,0.8952881081350358,0.13336642689523465,0.11767282295504479
2024-12-01,7,2,6.712994634235734,0.8952881081350358,0.13336642689523465,0.11767282295504479
2025-01-01,10,3,6.026442146931038,0.9499123886387805,0.15762407826687014,0.1361617136565232
2025-02-01,13,4,4.833340833755064,1.5227219887197034,0.3150454398094604,0.2395700028853056
2025-03-01,18,5,4.452357278261571,1.7632806018672094,0.39603304309740583,0.2836845768483528
2025-04-01,28,5,3.380786613844921,2.250051495855698,0.6655408201868382,0.3995944212956478
2025-05-01,33,5,2.82397216656937,2.2717838631571476,0.8044639710157488,0.4458188048847043
2025-07-01,34,5,2.8210855077771204,2.2533583462917757,0.7987557768380139,0.4440601593186408
2025-08-01,35,5,2.8188692811506693,2.2801915075223995,0.8089028898107722,0.4471787260483568
2025-09-01,38,5,2.802457719607279,2.256520882343218,0.8051935508445883,0.4460427805471972
2025-10-01,42,5,2.804928762004944,2.1667700870835165,0.7724866729000103,0.4358208638241129
2025-11-01,43,5,2.80306423065924,2.1545155754086496,0.7686286856513345,0.4345901951535242
2025-12-01,43,5,2.80306423065924,2.1545155754086496,0.7686286856513345,0.4345901951535242
