term,coef,std_err,t_value,n,r2,standardized,stage,scale
intercept,0.733380193305433,0.2481214257107858,2.9557310143795177,46,0.30114282991307606,False,stage1_hybrid_only,unstandardized
hybridization_score,-2.069661895217783,0.47531444694467556,-4.354300418431595,46,0.30114282991307606,False,stage1_hybrid_only,unstandardized
intercept,8.593906362244329e-17,0.1260282408905865,6.819032227630052e-16,46,0.3011428299130844,True,stage1_hybrid_only,standardized
hybridization_score,-0.5487648220440791,0.12602824089058648,-4.354300418431599,46,0.3011428299130844,True,stage1_hybrid_only,standardized
intercept,1.70905868738749,0.27609913220466265,6.190018323276092,46,0.563337893937554,False,stage2_plus_compatibility_tax,unstandardized
hybridization_score,1.8927288713748431,0.8674873294566057,2.1818518923618737,46,0.563337893937554,False,stage2_plus_compatibility_tax,unstandardized
compatibility_tax,-6.329531086560027,1.2456550876099641,-5.081287066955658,46,0.563337893937554,False,stage2_plus_compatibility_tax,unstandardized
intercept,8.59390636224433e-17,0.10077168599922678,8.528096237578352e-16,46,0.5633378939375591,True,stage2_plus_compatibility_tax,standardized
hybridization_score,0.5018515462248514,0.2300117381852146,2.1818518923618613,46,0.5633378939375591,True,stage2_plus_compatibility_tax,standardized
compatibility_tax,-1.168755670488522,0.2300117381852146,-5.081287066955659,46,0.5633378939375591,True,stage2_plus_compatibility_tax,standardized
intercept,-6.506908984442841,2.014572167696037,-3.2299210168700285,16,0.8070156045171832,False,stage3_plus_efficiency_proxies,unstandardized
hybridization_score,-2.126409629142982,1.131149358689566,-1.8798663614205844,16,0.8070156045171832,False,stage3_plus_efficiency_proxies,unstandardized
compatibility_tax,20.22105263165658,4.235649217077298,4.774014937339311,16,0.8070156045171832,False,stage3_plus_efficiency_proxies,unstandardized
log1p_kv_cache_mb_per_1k_tokens,-0.7121349546638504,0.17132232163285824,-4.156696849987519,16,0.8070156045171832,False,stage3_plus_efficiency_proxies,unstandardized
log1p_state_memory_proxy,-0.2005659139463115,0.10631452791976023,-1.8865334575692847,16,0.8070156045171832,False,stage3_plus_efficiency_proxies,unstandardized
transition_complexity,-5.888501037655068,1.877919937599734,-3.1356507376887772,16,0.8070156045171832,False,stage3_plus_efficiency_proxies,unstandardized
intercept,1.387778780781446e-16,0.1389188235923602,9.989854109718839e-16,16,0.807015604517159,True,stage3_plus_efficiency_proxies,standardized
hybridization_score,-0.31915605353013454,0.16977592667225402,-1.8798663614203277,16,0.807015604517159,True,stage3_plus_efficiency_proxies,standardized
compatibility_tax,1.9076486450986243,0.3995900034117384,4.774014937338107,16,0.807015604517159,True,stage3_plus_efficiency_proxies,standardized
log1p_kv_cache_mb_per_1k_tokens,-1.3653727062386296,0.3284754110088578,-4.156696849986773,16,0.807015604517159,True,stage3_plus_efficiency_proxies,standardized
log1p_state_memory_proxy,-0.36588187924036397,0.1939440182056413,-1.8865334575692598,16,0.807015604517159,True,stage3_plus_efficiency_proxies,standardized
transition_complexity,-1.241494842869684,0.3959289304602193,-3.135650737688193,16,0.807015604517159,True,stage3_plus_efficiency_proxies,standardized
intercept,2.8738205113977076,2.8564497049871163,1.0060812575765865,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
hybridization_score,-1.6245320947625923,1.8270124587956518,-0.8891740649833705,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
compatibility_tax,0.6801012758254086,0.6263725244110246,1.0857776312345515,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
log1p_kv_cache_mb_per_1k_tokens,-0.4033330665126511,0.26920602063503807,-1.498231969557058,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
log1p_state_memory_proxy,0.1909271336961056,0.3368572701377343,0.566789410892154,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
transition_complexity,-1.911914622454378,3.3093468813214066,-0.577731706895277,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
architecture_quality_index,-0.043976898824841626,0.28494002002776525,-0.1543373893935868,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
convergence_score,-1.0103077249567642,1.3440797775944056,-0.7516724392394202,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
has_quant_f,-1.0664449461589314,0.4584079160271395,-2.3264104062631277,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
is_long_context_128k_f,0.17149146592919845,0.3705040534464589,0.4628598913668308,16,0.8457921615603183,False,stage4_plus_quality_controls,unstandardized
intercept,1.387778780781446e-16,0.1603162699373287,8.656506175723527e-16,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
hybridization_score,-0.2509470424208391,0.2585495480106888,-0.9705955564480995,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
compatibility_tax,0.12008996056791041,0.16519465224042387,0.7269603400546635,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
log1p_kv_cache_mb_per_1k_tokens,-0.7935578663763879,0.4769442854636621,-1.6638376652420304,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
log1p_state_memory_proxy,0.32415780769293134,0.6480165169728543,0.5002307799301209,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
transition_complexity,-0.42809475352032283,0.6552716423876036,-0.6533088353411424,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
architecture_quality_index,-0.04800987945823277,0.3110709572507095,-0.15433738939356823,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
convergence_score,-0.30465623211624465,0.40530451325928807,-0.751672439239148,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
has_quant_f,-0.8233559175179451,0.2958663471797971,-2.7828643756418643,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
is_long_context_128k_f,0.1377619873124051,0.2976321558250054,0.4628598913667214,16,0.845792161560299,True,stage4_plus_quality_controls,standardized
