model_name,group,params_b,layer_idx,layer_frac,layer_target,d_model,pr,pr_normalized,anisotropy,n_prompts
Qwen2.5-7B,base_transformer,7.0,5,0.185,0.2,3584,9.7042,0.002708,0.525615,128
Qwen2.5-7B,base_transformer,7.0,9,0.333,0.35,3584,9.386,0.002619,0.44408,128
Qwen2.5-7B,base_transformer,7.0,13,0.481,0.5,3584,10.7159,0.00299,0.480787,128
Qwen2.5-7B,base_transformer,7.0,17,0.63,0.65,3584,8.7289,0.002436,0.46121,128
Qwen2.5-7B,base_transformer,7.0,21,0.778,0.8,3584,8.2274,0.002296,0.5123,128
Qwen3-8B,base_transformer,8.0,7,0.2,0.2,4096,7.2766,0.001777,0.587023,128
Qwen3-8B,base_transformer,8.0,12,0.343,0.35,4096,7.1198,0.001738,0.548269,128
Qwen3-8B,base_transformer,8.0,17,0.486,0.5,4096,6.6758,0.00163,0.572272,128
Qwen3-8B,base_transformer,8.0,22,0.629,0.65,4096,5.67,0.001384,0.565741,128
Qwen3-8B,base_transformer,8.0,28,0.8,0.8,4096,8.9812,0.002193,0.597204,128
OLMo2-7B,base_transformer,7.0,6,0.194,0.2,4096,10.3085,0.002517,0.447191,128
OLMo2-7B,base_transformer,7.0,10,0.323,0.35,4096,5.3282,0.001301,0.408315,128
OLMo2-7B,base_transformer,7.0,15,0.484,0.5,4096,6.486,0.001583,0.410773,128
OLMo2-7B,base_transformer,7.0,20,0.645,0.65,4096,9.9911,0.002439,0.360921,128
OLMo2-7B,base_transformer,7.0,24,0.774,0.8,4096,13.9086,0.003396,0.316916,128
DSR1-7B,reasoning_tuned,7.0,5,0.185,0.2,3584,8.9774,0.002505,0.619047,128
DSR1-7B,reasoning_tuned,7.0,9,0.333,0.35,3584,6.5092,0.001816,0.491466,128
DSR1-7B,reasoning_tuned,7.0,13,0.481,0.5,3584,6.656,0.001857,0.535243,128
DSR1-7B,reasoning_tuned,7.0,17,0.63,0.65,3584,4.8954,0.001366,0.517145,128
DSR1-7B,reasoning_tuned,7.0,21,0.778,0.8,3584,4.8174,0.001344,0.584848,128
DSR1-Llama-8B,reasoning_tuned,8.0,6,0.194,0.2,4096,7.9032,0.001929,0.35849,128
DSR1-Llama-8B,reasoning_tuned,8.0,10,0.323,0.35,4096,7.1911,0.001756,0.373232,128
DSR1-Llama-8B,reasoning_tuned,8.0,15,0.484,0.5,4096,7.0736,0.001727,0.450559,128
DSR1-Llama-8B,reasoning_tuned,8.0,20,0.645,0.65,4096,9.1285,0.002229,0.402089,128
DSR1-Llama-8B,reasoning_tuned,8.0,24,0.774,0.8,4096,12.2021,0.002979,0.363594,128
