model,paradigm,category,n_prompts,PR,anisotropy
Qwen3-0.6B,transformer,factual,4,1.0088243965988195,0.9965903044175427
Gemma2-2B,transformer,factual,4,1.2998841253066187,0.9608321205176288
Mamba-1.4B,ssm,factual,4,2.810656032424605,0.7296532425070626
Qwen3-1.7B,transformer,factual,4,1.034877539147118,0.9892485341928515
DSR1-1.5B,reasoning,factual,4,1.0127657664675715,0.9961776773749601
FalconH1-1.5B,hybrid,factual,4,1.2064565851522637,0.9703153796984233
Gemma3-1B,transformer,factual,4,1.1536893761339868,0.9963156044901648
Qwen3-0.6B,transformer,reasoning,4,1.0552942607340052,0.9950400273878267
Gemma2-2B,transformer,reasoning,4,1.6846052667220868,0.9518071734196721
Mamba-1.4B,ssm,reasoning,4,2.572907072755504,0.6581388894287653
Qwen3-1.7B,transformer,reasoning,4,1.136764762342767,0.9867306827497734
DSR1-1.5B,reasoning,reasoning,4,1.0446365453873576,0.9944427816257723
FalconH1-1.5B,hybrid,reasoning,4,1.2968315878296433,0.9538630406670419
Gemma3-1B,transformer,reasoning,4,1.2655687018400257,0.9952163976796236
Qwen3-0.6B,transformer,code,4,1.0406614491276804,0.9936445689584854
Gemma2-2B,transformer,code,4,1.7533196355002552,0.9418078083036763
Mamba-1.4B,ssm,code,4,2.527335004462068,0.4946419709716916
Qwen3-1.7B,transformer,code,4,1.1984487652490745,0.9850950288054072
DSR1-1.5B,reasoning,code,4,1.061334035587472,0.9955472483666195
FalconH1-1.5B,hybrid,code,4,1.4903797114702024,0.9499939434283641
Gemma3-1B,transformer,code,4,1.199001561784703,0.9927604467018843
Qwen3-0.6B,transformer,narrative,4,1.1597058018545108,0.9956230738440323
Gemma2-2B,transformer,narrative,4,2.429322195283413,0.9508601149305598
Mamba-1.4B,ssm,narrative,4,2.842977198440736,0.5943799830122024
Qwen3-1.7B,transformer,narrative,4,1.5973808533629748,0.9867516236004227
DSR1-1.5B,reasoning,narrative,4,1.188753410509756,0.9963370229876757
FalconH1-1.5B,hybrid,narrative,4,2.4700654471682895,0.9624540685870401
Gemma3-1B,transformer,narrative,4,1.7724941711820525,0.9943984102286222
