layer,layer_frac,category,rsa_distance
0,0.0,factual,0.05714285714285705
1,0.03571428571428571,factual,0.11428571428571421
2,0.07142857142857142,factual,0.4571428571428571
3,0.10714285714285714,factual,0.4571428571428571
4,0.14285714285714285,factual,1.0285714285714285
5,0.17857142857142858,factual,1.0857142857142856
6,0.21428571428571427,factual,0.9714285714285714
7,0.25,factual,0.2857142857142857
8,0.2857142857142857,factual,0.5142857142857142
9,0.32142857142857145,factual,0.2857142857142857
10,0.35714285714285715,factual,0.22857142857142854
11,0.39285714285714285,factual,0.5142857142857142
12,0.42857142857142855,factual,0.4
13,0.4642857142857143,factual,0.4571428571428571
14,0.5,factual,0.5714285714285714
15,0.5357142857142857,factual,0.4571428571428571
16,0.5714285714285714,factual,0.5714285714285714
17,0.6071428571428571,factual,0.5142857142857142
18,0.6428571428571429,factual,0.4
19,0.6785714285714286,factual,0.4
20,0.7142857142857143,factual,0.17142857142857126
21,0.75,factual,0.4
22,0.7857142857142857,factual,0.5714285714285714
23,0.8214285714285714,factual,0.5714285714285714
24,0.8571428571428571,factual,0.5714285714285714
25,0.8928571428571429,factual,0.4571428571428571
26,0.9285714285714286,factual,0.17142857142857126
27,0.9642857142857143,factual,0.2857142857142857
28,1.0,factual,0.0
0,0.0,reasoning,0.4
1,0.03571428571428571,reasoning,0.17142857142857126
2,0.07142857142857142,reasoning,0.22857142857142854
3,0.10714285714285714,reasoning,0.11428571428571421
4,0.14285714285714285,reasoning,0.05714285714285705
5,0.17857142857142858,reasoning,0.0
6,0.21428571428571427,reasoning,0.05714285714285705
7,0.25,reasoning,0.0
8,0.2857142857142857,reasoning,0.0
9,0.32142857142857145,reasoning,0.11428571428571421
10,0.35714285714285715,reasoning,0.11428571428571421
11,0.39285714285714285,reasoning,0.05714285714285705
12,0.42857142857142855,reasoning,0.0
13,0.4642857142857143,reasoning,0.0
14,0.5,reasoning,0.0
15,0.5357142857142857,reasoning,0.05714285714285705
16,0.5714285714285714,reasoning,0.05714285714285705
17,0.6071428571428571,reasoning,0.05714285714285705
18,0.6428571428571429,reasoning,0.05714285714285705
19,0.6785714285714286,reasoning,0.05714285714285705
20,0.7142857142857143,reasoning,0.05714285714285705
21,0.75,reasoning,0.0
22,0.7857142857142857,reasoning,0.17142857142857126
23,0.8214285714285714,reasoning,0.11428571428571421
24,0.8571428571428571,reasoning,0.2857142857142857
25,0.8928571428571429,reasoning,0.4571428571428571
26,0.9285714285714286,reasoning,0.4571428571428571
27,0.9642857142857143,reasoning,0.2857142857142857
28,1.0,reasoning,0.05714285714285705
0,0.0,code,0.22857142857142854
1,0.03571428571428571,code,0.6285714285714286
2,0.07142857142857142,code,1.7142857142857144
3,0.10714285714285714,code,0.0
4,0.14285714285714285,code,0.05714285714285705
5,0.17857142857142858,code,0.05714285714285705
6,0.21428571428571427,code,0.05714285714285705
7,0.25,code,0.11428571428571421
8,0.2857142857142857,code,0.22857142857142854
9,0.32142857142857145,code,0.22857142857142854
10,0.35714285714285715,code,0.22857142857142854
11,0.39285714285714285,code,0.22857142857142854
12,0.42857142857142855,code,0.17142857142857126
13,0.4642857142857143,code,0.17142857142857126
14,0.5,code,0.17142857142857126
15,0.5357142857142857,code,0.22857142857142854
16,0.5714285714285714,code,0.17142857142857126
17,0.6071428571428571,code,0.05714285714285705
18,0.6428571428571429,code,0.05714285714285705
19,0.6785714285714286,code,0.0
20,0.7142857142857143,code,0.11428571428571421
21,0.75,code,0.05714285714285705
22,0.7857142857142857,code,0.0
23,0.8214285714285714,code,0.17142857142857126
24,0.8571428571428571,code,0.05714285714285705
25,0.8928571428571429,code,0.05714285714285705
26,0.9285714285714286,code,0.17142857142857126
27,0.9642857142857143,code,0.7428571428571429
28,1.0,code,0.5142857142857142
0,0.0,narrative,0.9142857142857143
1,0.03571428571428571,narrative,0.34285714285714275
2,0.07142857142857142,narrative,0.6857142857142857
3,0.10714285714285714,narrative,0.05714285714285705
4,0.14285714285714285,narrative,0.11428571428571421
5,0.17857142857142858,narrative,0.11428571428571421
6,0.21428571428571427,narrative,0.05714285714285705
7,0.25,narrative,0.11428571428571421
8,0.2857142857142857,narrative,0.11428571428571421
9,0.32142857142857145,narrative,0.05714285714285705
10,0.35714285714285715,narrative,0.05714285714285705
11,0.39285714285714285,narrative,0.22857142857142854
12,0.42857142857142855,narrative,0.17142857142857126
13,0.4642857142857143,narrative,0.22857142857142854
14,0.5,narrative,0.05714285714285705
15,0.5357142857142857,narrative,0.11428571428571421
16,0.5714285714285714,narrative,0.22857142857142854
17,0.6071428571428571,narrative,0.22857142857142854
18,0.6428571428571429,narrative,0.4
19,0.6785714285714286,narrative,0.4
20,0.7142857142857143,narrative,0.11428571428571421
21,0.75,narrative,0.22857142857142854
22,0.7857142857142857,narrative,0.17142857142857126
23,0.8214285714285714,narrative,0.5142857142857142
24,0.8571428571428571,narrative,0.6857142857142857
25,0.8928571428571429,narrative,0.8571428571428571
26,0.9285714285714286,narrative,0.8571428571428571
27,0.9642857142857143,narrative,1.3714285714285714
28,1.0,narrative,0.4
