layer,layer_frac,angle_1,angle_2,angle_3,mean_angle,max_angle
0,0.0,0.03606324803932098,0.11541476441629354,0.2650068712605046,0.40365969013017244,1.156739006459395
1,0.03571428571428571,0.07580164928799724,0.19710373124271108,0.3189309198450825,0.42238545935863714,1.0392694111092005
2,0.07142857142857142,0.08478201678205409,0.22374936962872002,0.30175330464473793,0.40965983668310635,0.9410835643207427
3,0.10714285714285714,0.05230909808385015,0.16178346212724537,0.22422851558831353,0.35674294135484635,0.8321631777727636
4,0.14285714285714285,0.0581418810483204,0.11907797850370627,0.318063151344882,0.328687903218036,0.7879302532995318
5,0.17857142857142858,0.07765600000697144,0.14920292121681575,0.3130710854759454,0.4453198795850911,1.2252636783597448
6,0.21428571428571427,0.061682542995987764,0.13096685988354861,0.29501565785157124,0.3746677538427618,0.8808509615914984
7,0.25,0.05816410503585276,0.17225669498474058,0.33378478179345317,0.38264560879085274,0.8241328325756305
8,0.2857142857142857,0.060114164255036746,0.21237220766687834,0.2774604535221526,0.391586615252851,0.8321970086180273
9,0.32142857142857145,0.06596976862405547,0.1513875001018135,0.31091510494252167,0.35291956187023155,0.7512071963879754
10,0.35714285714285715,0.06083217236397416,0.21524795922218737,0.3093738514074962,0.4143319882476991,0.9252182110915965
11,0.39285714285714285,0.061274958554040734,0.1960658706575396,0.38102888051318873,0.40451317066479014,0.7916137026331099
12,0.42857142857142855,0.04776689284703699,0.28092853332268053,0.39849579134891583,0.4055121050955994,0.7565820690257276
13,0.4642857142857143,0.05743762827102787,0.3257432949804305,0.3753934159543027,0.3854417229082485,0.6845786842098749
14,0.5,0.05660736652383155,0.32496846618810804,0.3642692350229781,0.36903578409035553,0.623681678780124
15,0.5357142857142857,0.06791337662674449,0.1345951945460823,0.40484092132041877,0.35426993229938114,0.6586791099579792
16,0.5714285714285714,0.06859805589328984,0.1261671303457293,0.36495261092965037,0.3163509851393621,0.5533591382009216
17,0.6071428571428571,0.06424820950820062,0.19253881822266866,0.35945812711154945,0.33709227613038795,0.5979230294492955
18,0.6428571428571429,0.06737395290198593,0.1567922852917811,0.39774102457986843,0.42311102995472244,1.0014186474438886
19,0.6785714285714286,0.05914303542654672,0.192355533897511,0.3508606960798493,0.4968437463897226,1.456668357736065
20,0.7142857142857143,0.06483381994483017,0.21154075486728957,0.3085317381824633,0.5343364488029735,1.5337303700777765
21,0.75,0.06452363043090757,0.22392356629593235,0.38199698856783987,0.5129602048607159,1.3714789727891337
22,0.7857142857142857,0.07733433391692376,0.31059244808326847,0.4440586755360491,0.5073127641889974,1.1627496251216405
23,0.8214285714285714,0.07666534759955569,0.16504735210254198,0.4603115610770053,0.43486070040146396,0.9489720322955263
24,0.8571428571428571,0.0819074642471321,0.36393425032646515,0.3872246189012129,0.5390790910405736,1.2718961923414862
25,0.8928571428571429,0.07537314871057636,0.24958157191643593,0.38114453118023944,0.5237163940129317,1.3025696250647507
26,0.9285714285714286,0.11345500033529296,0.2514319230705973,0.4338757641351424,0.5182859765327341,1.1774490840142944
27,0.9642857142857143,0.08514199803621683,0.247503779987722,0.3973330576270087,0.47985026995114366,1.0374655793281118
28,1.0,0.12711799409037955,0.3123001429887379,0.4592079370298627,0.48399156725088127,0.9162130685564706
