model,model_id,paradigm,n_layers,hidden_size,mean_intrinsic_dim,max_intrinsic_dim,mean_anisotropy,max_anisotropy,self_cka_block_diag,self_cka_block_off,self_cka_block_ratio
Qwen3-0.6B,Qwen/Qwen3-0.6B,transformer,29,1024,2.3826216313124995,11.164594855286817,0.9365609596971226,0.9998960037135556,0.809571006329058,0.786027557630523,1.029952446921208
Gemma3-1B,google/gemma-3-1b-it,transformer,27,1152,2.2808433084018667,9.104775133550007,0.951720597357609,0.9987825750653577,0.8743632831006838,0.7265373350466928,1.203466416553102
Qwen3-1.7B,Qwen/Qwen3-1.7B,transformer,29,2048,2.6354105836062494,10.992845645636818,0.943960956106183,0.9998588771162921,0.8156305213324404,0.7664174167765085,1.064211881774449
Gemma2-2B,google/gemma-2-2b-it,transformer,27,2304,3.708803334184981,7.5328892899096545,0.9084539005666301,0.9598342173166892,0.9242704262106891,0.9070457221016052,1.0189898961974868
Mamba-790M,state-spaces/mamba-790m-hf,ssm,49,1536,10.874569520243947,12.498397227623663,0.8156792250426581,0.8958063557194303,0.9148963670960881,0.7948796974376586,1.1509872123357916
Mamba-1.4B,state-spaces/mamba-1.4b-hf,ssm,49,2048,11.246633318550758,12.784063615777413,0.48825578725476904,0.6484012061452976,0.9491960413001801,0.820172604708845,1.1573125411048537
Mamba-2.8B,state-spaces/mamba-2.8b-hf,ssm,65,2560,11.408112064053858,13.293526559332584,0.5167020090819944,0.8619195209654166,0.9505991213822956,0.8039393527064214,1.1824264083878362
FalconH1-0.5B,tiiuae/Falcon-H1-0.5B-Instruct,hybrid,37,1024,7.5603277640678295,12.617685747244748,0.8388576281077196,0.9431360718001304,0.7987155162568373,0.6519567213822136,1.2251051182714712
FalconH1-1.5B,tiiuae/Falcon-H1-1.5B-Instruct,hybrid,25,2048,3.6987750415049407,11.790182654745605,0.9021415775146251,0.9951451824956228,0.7993877725911531,0.7427713727161036,1.076223185161296
Zamba2-1.2B,Zyphra/Zamba2-1.2B,hybrid,39,2048,6.633472502800783,11.604364039161009,0.7987851503068286,0.9760655580652375,0.8977826205828406,0.7417161625313128,1.2104126429157316
DSR1-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,reasoning,29,1536,1.9931411505009449,10.738518678629575,0.9407980199349146,0.9988949294729212,0.8477848299834403,0.840446218241803,1.008731804108762
